source,target,weight,type
侯亮平,赵德汉,34,undirected
侯亮平,丁义珍,42,undirected
侯亮平,陈海,102,undirected
侯亮平,林华华,28,undirected
侯亮平,陆亦可,91,undirected
侯亮平,小皮球,43,undirected
侯亮平,陈岩石,38,undirected
侯亮平,钟小艾,48,undirected
侯亮平,蔡成功,76,undirected
侯亮平,祁同伟,141,undirected
侯亮平,高育良,200,undirected
侯亮平,李达康,32,undirected
侯亮平,季昌明,90,undirected
侯亮平,沙瑞金,50,undirected
侯亮平,赵东来,45,undirected
侯亮平,吕梁,28,undirected
侯亮平,高小琴,65,undirected
侯亮平,欧阳菁,22,undirected
侯亮平,赵瑞龙,37,undirected
侯亮平,刘新建,66,undirected
侯亮平,吴惠芬,30,undirected
侯亮平,肖钢玉,23,undirected
赵德汉,侯亮平,34,undirected
赵德汉,丁义珍,21,undirected
丁义珍,侯亮平,42,undirected
丁义珍,赵德汉,21,undirected
丁义珍,高育良,22,undirected
丁义珍,周正,25,undirected
丁义珍,祁同伟,25,undirected
丁义珍,李达康,29,undirected
陈海,侯亮平,102,undirected
陈海,陆亦可,30,undirected
陈海,赵东来,26,undirected
陆亦可,林华华,23,undirected
陆亦可,陈海,30,undirected
陆亦可,侯亮平,91,undirected
陆亦可,高育良,22,undirected
陆亦可,蔡成功,30,undirected
陆亦可,赵东来,61,undirected
林华华,陆亦可,23,undirected
林华华,侯亮平,28,undirected
林华华,欧阳菁,25,undirected
季昌明,高育良,34,undirected
季昌明,侯亮平,90,undirected
高育良,季昌明,34,undirected
高育良,丁义珍,22,undirected
高育良,陆亦可,22,undirected
高育良,祁同伟,74,undirected
高育良,李达康,59,undirected
高育良,沙瑞金,39,undirected
高育良,侯亮平,200,undirected
高育良,赵立春,30,undirected
高育良,高小琴,26,undirected
高育良,赵瑞龙,52,undirected
高育良,吴惠芬,66,undirected
周正,丁义珍,25,undirected
祁同伟,丁义珍,25,undirected
祁同伟,高育良,74,undirected
祁同伟,李达康,46,undirected
祁同伟,沙瑞金,30,undirected
祁同伟,赵东来,41,undirected
祁同伟,侯亮平,141,undirected
祁同伟,高小琴,68,undirected
祁同伟,赵瑞龙,32,undirected
祁同伟,梁璐,37,undirected
李达康,丁义珍,29,undirected
李达康,高育良,59,undirected
李达康,祁同伟,46,undirected
李达康,沙瑞金,105,undirected
李达康,孙连城,21,undirected
李达康,陈岩石,30,undirected
李达康,蔡成功,36,undirected
李达康,高小琴,23,undirected
李达康,赵东来,33,undirected
李达康,侯亮平,32,undirected
李达康,欧阳菁,55,undirected
李达康,王大路,30,undirected
李达康,赵瑞龙,27,undirected
李达康,易学习,60,undirected
沙瑞金,祁同伟,30,undirected
沙瑞金,李达康,105,undirected
沙瑞金,高育良,39,undirected
沙瑞金,陈岩石,40,undirected
沙瑞金,侯亮平,50,undirected
沙瑞金,赵瑞龙,29,undirected
沙瑞金,易学习,42,undirected
孙连城,李达康,21,undirected
小皮球,侯亮平,43,undirected
陈岩石,郑西坡,33,undirected
陈岩石,李达康,30,undirected
陈岩石,沙瑞金,40,undirected
陈岩石,侯亮平,38,undirected
郑西坡,陈岩石,33,undirected
郑西坡,蔡成功,41,undirected
郑西坡,郑胜利,77,undirected
赵东来,祁同伟,41,undirected
赵东来,蔡成功,33,undirected
赵东来,李达康,33,undirected
赵东来,侯亮平,45,undirected
赵东来,陆亦可,61,undirected
赵东来,陈海,26,undirected
蔡成功,郑西坡,41,undirected
蔡成功,李达康,36,undirected
蔡成功,侯亮平,76,undirected
蔡成功,赵东来,33,undirected
蔡成功,陆亦可,30,undirected
蔡成功,欧阳菁,39,undirected
高小琴,李达康,23,undirected
高小琴,祁同伟,68,undirected
高小琴,侯亮平,65,undirected
高小琴,高育良,26,undirected
高小琴,赵瑞龙,30,undirected
郑胜利,郑西坡,77,undirected
郑胜利,张宝宝,24,undirected
钟小艾,侯亮平,48,undirected
赵立春,高育良,30,undirected
赵立春,赵瑞龙,26,undirected
吕梁,侯亮平,28,undirected
欧阳菁,蔡成功,39,undirected
欧阳菁,李达康,55,undirected
欧阳菁,王大路,25,undirected
欧阳菁,侯亮平,22,undirected
欧阳菁,林华华,25,undirected
王大路,欧阳菁,25,undirected
王大路,李达康,30,undirected
张宝宝,郑胜利,24,undirected
赵瑞龙,赵立春,26,undirected
赵瑞龙,李达康,27,undirected
赵瑞龙,高小琴,30,undirected
赵瑞龙,祁同伟,32,undirected
赵瑞龙,沙瑞金,29,undirected
赵瑞龙,侯亮平,37,undirected
赵瑞龙,高育良,52,undirected
赵瑞龙,刘新建,33,undirected
赵瑞龙,杜伯仲,22,undirected
吴惠芬,高育良,66,undirected
吴惠芬,侯亮平,30,undirected
梁璐,祁同伟,37,undirected
易学习,沙瑞金,42,undirected
易学习,李达康,60,undirected
刘新建,侯亮平,66,undirected
刘新建,赵瑞龙,33,undirected
肖钢玉,侯亮平,23,undirected
杜伯仲,赵瑞龙,22,undirected
